Year,County,Total_Buildings,Total_Units,Value
2000,Clayton,2389,3347,294519374
2000,Cobb,5517,6642,736202069
2000,Dekalb,4375,6145,696192550
2000,Fulton,3645,9621,839135079
2000,Gwinnett,9044,12372,1044856093
2001,Clayton,2583,3170,331219709
2001,Cobb,4565,5657,713501856
2001,Dekalb,4868,7575,1012243968
2001,Fulton,4162,10855,968523608
2001,Gwinnett,9743,11274,1038323654
2002,Clayton,2340,3240,335007821
2002,Cobb,4738,5556,714709931
2002,Dekalb,4242,7237,844270179
2002,Fulton,4139,10824,996778371
2002,Gwinnett,9414,10362,973582366
2003,Clayton,2522,2579,299840330
2003,Cobb,5029,5963,783174878
2003,Dekalb,3968,5106,860419551
2003,Fulton,6188,12296,1085141788
2003,Gwinnett,9049,9617,992694345
2004,Clayton,2102,3014,303689574
2004,Cobb,5506,6889,1049439565
2004,Dekalb,3830,6719,926362435
2004,Fulton,8218,16919,1575342604
2004,Gwinnett,9431,10463,1113571657
2005,Clayton,2107,2114,257903550
2005,Cobb,5153,6142,1097731070
2005,Dekalb,3449,6336,799966819
2005,Fulton,9745,16114,1672200314
2005,Gwinnett,9898,9938,1086266458
2006,Clayton,2220,2231,307473040
2006,Cobb,3495,4518,834140434
2006,Dekalb,2920,4346,714848003
2006,Fulton,9658,18644,2121438002
2006,Gwinnett,7929,9033,1015349204
2007,Clayton,1239,1254,174188884
2007,Cobb,2104,2945,595787501
2007,Dekalb,2229,4912,729164880
2007,Fulton,4687,12863,1514524848
2007,Gwinnett,4303,4408,518373506
2008,Clayton,403,403,50831216
2008,Cobb,785,1068,208607371
2008,Dekalb,822,3821,552583768
2008,Fulton,2256,4667,583657149
2008,Gwinnett,1396,1959,218796469
2009,Clayton,86,93,11576588
2009,Cobb,432,550,107804452
2009,Dekalb,299,323,92293909
2009,Fulton,792,1529,217654983
2009,Gwinnett,621,719,91259441
2010,Clayton,143,143,18264905
2010,Cobb,762,1013,190858575
2010,Dekalb,358,432,95258921
2010,Fulton,789,1101,189560115
2010,Gwinnett,1086,1239,191470364
2011,Clayton,106,106,15905052
2011,Cobb,937,1758,331300241
2011,Dekalb,304,580,69871127
2011,Fulton,989,1954,286888816
2011,Gwinnett,873,873,129727228
2012,Clayton,93,93,14727510
2012,Cobb,1264,2245,423379312
2012,Dekalb,242,673,117803024
2012,Fulton,1687,3432,564648856
2012,Gwinnett,1600,2469,303592159
2013,Clayton,134,134,24232864
2013,Cobb,1680,2676,534457678
2013,Dekalb,354,1212,149801438
2013,Fulton,2167,8258,1085413913
2013,Gwinnett,2939,3347,437451635
2014,Clayton,331,342,73542229
2014,Cobb,1487,3091,584928912
2014,Dekalb,474,1442,184409579
2014,Fulton,2396,7441,1098255220
2014,Gwinnett,2970,3072,593094783
,,,,
,,,,
,,,,
,,,,
,,,,